Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.34,-.49,-.22,-.29,-.05,-.14,-.16,-.24,-.21,-.31,-.41,-.38,-.27,***,***,-.18,-.18,-.31
1881,-.29,-.21,-.03,.01,.05,-.32,.09,-.03,-.25,-.42,-.35,-.22,-.16,-.18,-.29,.01,-.08,-.34
1882,.28,.23,.03,-.30,-.24,-.28,-.26,-.13,-.23,-.51,-.32,-.66,-.20,-.16,.10,-.17,-.23,-.35
1883,-.56,-.65,-.14,-.28,-.23,-.11,-.02,-.20,-.30,-.15,-.41,-.13,-.26,-.31,-.62,-.22,-.11,-.28
1884,-.15,-.07,-.62,-.58,-.35,-.41,-.42,-.48,-.43,-.43,-.56,-.46,-.41,-.39,-.12,-.52,-.44,-.48
1885,-1.00,-.44,-.22,-.48,-.58,-.44,-.33,-.40,-.39,-.36,-.38,-.10,-.43,-.46,-.63,-.43,-.39,-.37
1886,-.73,-.82,-.71,-.36,-.32,-.36,-.13,-.42,-.32,-.30,-.38,-.20,-.42,-.41,-.55,-.46,-.30,-.33
1887,-1.07,-.69,-.43,-.37,-.24,-.19,-.23,-.53,-.19,-.47,-.26,-.42,-.42,-.41,-.65,-.35,-.32,-.31
1888,-.47,-.60,-.63,-.21,-.15,-.02,.01,-.20,-.18,-.03,.00,-.23,-.23,-.24,-.50,-.33,-.07,-.07
1889,-.26,.31,-.02,.16,-.03,-.06,-.07,-.20,-.30,-.41,-.61,-.54,-.17,-.14,-.06,.04,-.11,-.44
1890,-.62,-.56,-.47,-.24,-.35,-.15,-.23,-.38,-.34,-.09,-.62,-.46,-.38,-.38,-.58,-.35,-.26,-.35
1891,-.46,-.68,-.15,-.35,-.15,-.12,-.11,-.12,-.07,-.28,-.52,-.03,-.25,-.29,-.53,-.22,-.12,-.29
1892,-.49,-.15,-.67,-.45,-.23,-.06,-.38,-.32,-.20,-.27,-.81,-.65,-.39,-.34,-.23,-.45,-.25,-.43
1893,-1.51,-.96,-.32,-.29,-.43,-.18,-.14,-.33,-.28,-.28,-.33,-.60,-.47,-.48,-1.04,-.35,-.22,-.30
1894,-.91,-.42,-.21,-.54,-.26,-.40,-.20,-.26,-.33,-.27,-.47,-.35,-.38,-.41,-.64,-.34,-.29,-.36
1895,-.69,-.80,-.49,-.18,-.30,-.20,-.18,-.27,-.05,-.09,-.12,-.22,-.30,-.31,-.61,-.32,-.21,-.09
1896,-.35,-.18,-.49,-.60,-.16,.08,.01,-.10,-.12,.05,-.20,-.20,-.19,-.19,-.25,-.42,.00,-.09
1897,-.39,-.41,-.39,-.05,.14,-.06,.05,-.06,-.06,-.14,-.26,-.27,-.16,-.15,-.34,-.10,-.02,-.16
1898,.07,-.44,-.78,-.27,-.26,-.07,-.10,-.16,-.16,-.36,-.50,-.26,-.27,-.27,-.21,-.44,-.11,-.34
1899,-.11,-.64,-.58,-.23,-.24,-.35,-.16,-.07,-.05,.04,.37,-.46,-.21,-.19,-.34,-.35,-.19,.12
1900,-.61,-.13,.06,-.09,-.03,-.09,-.11,-.09,-.02,.24,-.11,-.02,-.08,-.12,-.40,-.02,-.10,.03
1901,-.33,-.09,.28,.11,-.11,.01,.01,-.16,-.26,-.32,-.22,-.40,-.12,-.09,-.15,.09,-.05,-.27
1902,-.16,.02,-.38,-.38,-.38,-.35,-.32,-.27,-.33,-.29,-.44,-.59,-.32,-.31,-.18,-.38,-.32,-.35
1903,-.21,.13,-.13,-.45,-.42,-.44,-.43,-.54,-.48,-.48,-.41,-.56,-.37,-.37,-.22,-.34,-.47,-.46
1904,-.76,-.59,-.40,-.49,-.44,-.48,-.58,-.53,-.63,-.38,-.08,-.35,-.48,-.49,-.64,-.44,-.53,-.36
1905,-.42,-.82,-.23,-.46,-.29,-.27,-.21,-.23,-.19,-.26,.09,-.17,-.29,-.30,-.53,-.33,-.24,-.12
1906,-.56,-.53,-.21,.04,-.25,-.12,-.26,-.17,-.24,-.18,-.40,.02,-.24,-.25,-.42,-.14,-.18,-.27
1907,-.59,-.73,-.31,-.46,-.59,-.51,-.40,-.38,-.40,-.19,-.55,-.57,-.47,-.42,-.43,-.45,-.43,-.38
1908,-.55,-.28,-.70,-.48,-.30,-.31,-.36,-.57,-.31,-.45,-.63,-.55,-.46,-.46,-.47,-.49,-.41,-.46
1909,-.93,-.46,-.67,-.66,-.49,-.51,-.45,-.35,-.38,-.33,-.12,-.58,-.50,-.49,-.65,-.61,-.44,-.28
1910,-.36,-.39,-.50,-.41,-.30,-.45,-.38,-.40,-.43,-.31,-.57,-.81,-.44,-.43,-.44,-.41,-.41,-.44
1911,-.71,-.59,-.64,-.46,-.46,-.34,-.36,-.44,-.38,-.19,-.20,-.30,-.42,-.46,-.70,-.52,-.38,-.26
1912,-.35,-.17,-.61,-.16,-.12,-.13,-.52,-.77,-.81,-.85,-.51,-.57,-.46,-.44,-.27,-.30,-.47,-.72
1913,-.56,-.65,-.48,-.51,-.55,-.50,-.52,-.46,-.43,-.39,-.14,.11,-.42,-.48,-.59,-.51,-.49,-.32
1914,.16,-.11,-.36,-.39,-.19,-.24,-.35,-.29,-.31,-.02,-.23,-.06,-.20,-.18,.05,-.32,-.29,-.18
1915,-.27,-.09,-.24,.07,-.02,-.12,-.09,-.16,-.21,-.27,-.04,-.26,-.14,-.12,-.14,-.06,-.12,-.17
1916,-.09,-.16,-.39,-.34,-.36,-.50,-.33,-.37,-.49,-.35,-.46,-1.13,-.41,-.34,-.17,-.36,-.40,-.43
1917,-.54,-.69,-.75,-.65,-.73,-.49,-.33,-.40,-.31,-.63,-.32,-1.06,-.57,-.58,-.78,-.71,-.41,-.42
1918,-.69,-.46,-.25,-.59,-.49,-.45,-.34,-.37,-.25,-.05,-.22,-.56,-.40,-.44,-.74,-.45,-.39,-.17
1919,-.38,-.41,-.39,-.24,-.42,-.39,-.34,-.30,-.19,-.09,-.47,-.55,-.35,-.35,-.45,-.35,-.35,-.25
1920,-.15,-.28,.00,-.21,-.22,-.26,-.26,-.33,-.36,-.40,-.45,-.72,-.30,-.29,-.33,-.14,-.28,-.41
1921,.18,-.09,-.11,-.18,-.25,-.15,-.03,-.29,-.18,.00,-.09,-.13,-.11,-.16,-.21,-.18,-.16,-.09
1922,-.37,-.62,-.11,-.16,-.19,-.16,-.28,-.37,-.44,-.32,-.13,-.15,-.28,-.27,-.37,-.15,-.27,-.30
1923,-.19,-.47,-.39,-.53,-.39,-.24,-.29,-.27,-.17,.06,.16,.09,-.22,-.24,-.27,-.44,-.27,.02
1924,-.28,-.21,.03,-.28,-.06,-.19,-.22,-.26,-.22,-.24,.10,-.36,-.18,-.15,-.14,-.10,-.22,-.12
1925,-.28,-.38,-.23,-.16,-.22,-.25,-.25,-.19,-.04,-.08,.22,.23,-.14,-.19,-.34,-.20,-.23,.03
1926,.53,.19,.38,-.11,-.23,-.19,-.20,-.05,-.02,.07,.17,-.29,.02,.06,.31,.01,-.15,.07
1927,-.28,-.08,-.47,-.27,-.13,-.13,-.07,-.16,.03,.24,.09,-.37,-.13,-.13,-.22,-.29,-.12,.12
1928,.27,.09,-.23,-.31,-.17,-.32,-.10,-.19,-.16,-.08,.05,-.04,-.10,-.13,.00,-.24,-.20,-.06
1929,-.56,-.79,-.19,-.36,-.28,-.39,-.36,-.20,-.20,-.01,-.02,-.65,-.34,-.28,-.46,-.28,-.32,-.08
1930,-.11,-.20,.11,-.16,-.20,-.12,-.03,.01,-.02,.02,.44,.08,-.02,-.08,-.32,-.09,-.05,.15
1931,.01,-.23,-.06,-.20,-.14,.15,.07,.09,.16,.35,.25,.10,.05,.04,-.05,-.13,.10,.26
1932,.38,-.19,-.21,.09,-.10,-.14,-.15,-.09,.10,.14,-.33,-.21,-.06,-.03,.10,-.07,-.13,-.03
1933,-.19,-.31,-.32,-.17,-.27,-.32,-.14,-.15,-.28,-.18,-.25,-.55,-.26,-.23,-.24,-.25,-.20,-.23
1934,-.15,.33,-.27,-.29,.08,-.01,-.04,-.10,-.14,.13,.26,.18,.00,-.06,-.12,-.16,-.05,.08
1935,-.40,.56,.03,-.35,-.29,-.15,-.05,-.07,-.06,.11,-.32,-.17,-.10,-.07,.11,-.21,-.09,-.09
1936,-.29,-.51,-.13,-.06,-.01,.04,.08,.03,.06,.07,.15,.15,-.03,-.06,-.32,-.07,.05,.09
1937,.09,.24,-.23,-.07,.12,.14,.14,.15,.29,.33,.25,.00,.12,.13,.16,-.06,.15,.29
1938,.35,.28,.34,.31,.03,-.06,-.03,.08,.15,.32,.31,-.13,.16,.17,.21,.22,.00,.26
1939,.03,-.01,-.24,-.07,.01,.00,.05,.08,.13,.08,.24,.79,.09,.01,-.04,-.10,.04,.15
1940,-.10,.14,.03,.28,.17,.16,.15,.07,.27,.29,.30,.36,.18,.21,.28,.16,.13,.29
1941,.18,.47,.12,.12,.24,.21,.25,.19,.10,.50,.18,.19,.23,.24,.34,.16,.22,.26
1942,.41,-.08,.00,.09,.17,.11,-.01,-.08,.11,.28,.26,.27,.13,.12,.17,.08,.01,.22
1943,-.09,.38,.00,.31,.23,-.07,-.02,.10,.14,.46,.36,.37,.18,.17,.19,.18,.01,.32
1944,.62,.43,.31,.18,.23,.17,.14,.16,.35,.44,.19,-.01,.27,.30,.48,.24,.16,.33
1945,.10,-.06,.09,.29,.08,.08,.06,.28,.20,.24,.08,-.21,.10,.12,.01,.15,.14,.17
1946,.34,.09,.12,.31,.03,-.05,-.04,-.10,-.03,.02,.07,-.45,.03,.05,.07,.15,-.06,.02
1947,-.04,-.04,.28,.22,.06,.00,-.03,-.05,-.01,.40,.19,-.05,.08,.04,-.18,.19,-.03,.19
1948,.30,-.15,-.28,-.03,.17,.04,.01,.02,-.03,.07,.03,-.39,-.02,.01,.04,-.05,.03,.03
1949,.23,-.09,.04,-.03,.00,-.20,-.11,-.05,-.10,.07,.05,-.14,-.03,-.05,-.08,.01,-.12,.01
1950,-.29,-.27,.06,-.22,-.04,-.06,-.19,-.20,-.09,-.06,-.33,-.13,-.15,-.15,-.23,-.07,-.15,-.16
1951,-.36,-.52,-.18,.07,.17,-.02,.08,.22,.33,.29,.08,.38,.04,.00,-.34,.02,.10,.23
1952,.17,.17,-.22,.17,.15,.16,.14,.07,.14,-.01,-.21,.01,.06,.09,.24,.03,.12,-.03
1953,.23,.37,.25,.41,.24,.25,.21,.18,.17,.27,.08,.22,.24,.22,.20,.30,.22,.17
1954,-.24,-.01,-.16,-.01,-.07,-.04,-.11,-.01,.09,.13,.34,-.11,-.02,.01,-.01,-.08,-.05,.19
1955,.42,-.12,-.43,-.24,-.13,-.10,-.05,.06,-.02,.12,-.34,-.28,-.09,-.08,.06,-.27,-.03,-.08
1956,-.04,-.32,-.23,-.26,-.30,-.20,-.20,-.28,-.32,-.28,-.26,-.10,-.23,-.25,-.22,-.26,-.23,-.29
1957,-.14,-.06,-.10,-.09,-.05,.12,.11,.16,.12,.06,.12,.24,.04,.01,-.10,-.08,.13,.10
1958,.69,.28,.16,.02,.12,.04,.04,.13,.07,.08,.03,.18,.15,.16,.40,.10,.07,.06
1959,.24,.16,.33,.22,.04,.14,.05,.10,.13,-.04,.03,.10,.12,.13,.19,.20,.10,.04
1960,.15,.42,-.40,-.13,.03,.19,.09,.11,.12,.05,-.08,.39,.08,.05,.22,-.16,.13,.03
1961,.17,.29,.22,.14,.07,.18,.06,.05,-.02,-.04,.08,-.17,.09,.13,.29,.14,.10,.01
1962,.28,.36,.30,.22,.02,-.13,.10,.04,-.02,.13,.12,.10,.13,.10,.16,.18,.00,.08
1963,.07,.50,-.11,.04,-.05,-.04,.10,.14,.13,.42,.43,.02,.14,.14,.23,-.04,.07,.33
1964,-.04,-.03,-.32,-.30,-.10,-.10,-.13,-.23,-.28,-.31,-.21,-.27,-.19,-.17,-.02,-.24,-.15,-.27
1965,-.02,-.37,-.10,-.26,-.14,-.20,-.18,-.20,-.20,-.02,.04,-.08,-.14,-.16,-.22,-.16,-.20,-.06
1966,-.25,.03,.00,-.22,-.05,.06,.11,.14,.06,-.10,.02,-.03,-.02,-.02,-.10,-.09,.10,.00
1967,-.18,-.37,.23,.05,.21,-.06,.04,.06,-.03,.29,.04,.02,.03,.02,-.19,.16,.02,.10
1968,-.29,-.16,.44,-.01,-.06,-.05,-.08,-.08,-.04,.00,-.22,-.33,-.07,-.04,-.14,.13,-.07,-.09
1969,-.43,-.45,-.19,.03,.11,-.04,.06,.05,.04,.03,.15,.31,-.03,-.08,-.40,-.02,.02,.07
1970,-.02,.28,-.07,-.02,.00,.02,-.04,-.05,-.05,-.20,.01,-.31,-.04,.01,.19,-.03,-.02,-.08
1971,-.14,-.21,-.28,-.20,-.12,-.14,-.13,-.16,-.14,-.16,-.02,-.14,-.15,-.17,-.22,-.20,-.14,-.10
1972,-.54,-.52,.01,-.11,-.15,-.10,-.05,-.09,-.26,-.04,-.19,-.04,-.17,-.18,-.40,-.09,-.08,-.17
1973,.15,.44,.32,.19,.09,.16,.04,.03,-.09,-.07,-.09,-.04,.09,.09,.18,.20,.08,-.08
1974,-.26,-.35,.02,-.10,-.19,-.18,-.12,-.11,-.16,-.23,-.20,-.27,-.18,-.16,-.22,-.09,-.14,-.20
1975,.16,.09,.11,.05,-.02,-.08,-.06,-.13,-.08,-.18,-.30,-.22,-.05,-.06,.00,.05,-.09,-.19
1976,.05,-.12,-.31,.02,-.26,-.20,-.26,-.21,-.12,-.51,-.31,-.25,-.21,-.20,-.10,-.18,-.22,-.31
1977,-.16,.11,.26,.25,.23,.23,.08,.02,.13,-.02,.28,.02,.12,.10,-.10,.25,.11,.13
1978,.16,.04,.21,.08,-.06,-.14,-.07,-.14,-.01,.00,.16,.02,.02,.02,.08,.08,-.12,.05
1979,-.05,-.35,.18,-.17,.01,.08,.05,.04,.19,.23,.24,.54,.08,.04,-.13,.01,.06,.22
1980,.21,.41,.07,.15,.26,.19,.13,.09,.10,.11,.20,.09,.17,.21,.39,.16,.14,.14
1981,.79,.62,.67,.39,.18,.28,.09,.16,.14,.23,.35,.54,.37,.33,.50,.41,.18,.24
1982,-.13,.17,.06,.17,.09,.01,.04,-.07,.06,.00,-.11,.38,.06,.07,.19,.11,.00,-.02
1983,.55,.35,.42,.07,.06,.11,.20,.25,.26,.12,.50,.11,.25,.27,.43,.18,.19,.29
1984,.34,.02,.18,-.07,.23,.09,.09,.06,-.04,.09,-.10,-.42,.04,.08,.16,.12,.08,-.02
1985,.07,-.29,.00,-.03,.09,.01,-.07,-.02,.03,.02,.03,.16,.00,-.05,-.21,.02,-.03,.03
1986,.36,.31,.26,.15,.20,.14,-.02,.04,-.02,.09,.04,.06,.14,.14,.28,.20,.06,.04
1987,.25,.50,.00,.07,.23,.17,.26,.27,.39,.22,.11,.51,.25,.21,.27,.10,.23,.24
1988,.59,.46,.47,.44,.43,.40,.42,.26,.26,.23,.06,.43,.37,.38,.52,.45,.36,.18
1989,.08,.40,.46,.32,.23,.24,.32,.26,.25,.25,.12,.34,.27,.28,.30,.34,.27,.21
1990,.48,.55,1.16,.71,.50,.48,.33,.41,.42,.48,.46,.39,.53,.53,.45,.79,.41,.46
1991,.60,.57,.46,.56,.33,.48,.43,.36,.36,.30,.33,.21,.41,.43,.52,.45,.42,.33
1992,.61,.50,.55,.16,.19,.05,-.10,-.07,-.18,-.17,-.08,.22,.14,.14,.44,.30,-.04,-.14
1993,.39,.52,.39,.24,.32,.22,.13,.03,-.06,.13,-.20,.22,.19,.19,.38,.32,.12,-.05
1994,.34,-.04,.50,.49,.39,.42,.34,.33,.33,.55,.51,.37,.38,.36,.18,.46,.36,.46
1995,.75,1.20,.59,.72,.41,.51,.38,.54,.44,.60,.57,.27,.58,.59,.77,.58,.48,.54
1996,.27,.55,.32,.18,.36,.25,.29,.19,.04,.05,.35,.35,.27,.26,.36,.29,.25,.15
1997,.34,.60,.75,.49,.43,.49,.42,.49,.52,.64,.60,.51,.52,.51,.43,.56,.47,.59
1998,.62,1.04,.72,.88,.66,.73,.75,.72,.62,.54,.49,.74,.71,.69,.72,.75,.74,.55
1999,.59,1.00,.29,.54,.37,.35,.36,.31,.41,.40,.53,.66,.48,.49,.78,.40,.34,.45
2000,.39,.89,.83,.89,.55,.44,.42,.48,.37,.29,.20,.27,.50,.53,.65,.76,.45,.29
2001,.57,.46,.76,.60,.69,.52,.64,.69,.57,.60,.98,.66,.64,.61,.43,.69,.61,.72
2002,1.02,1.15,1.12,.51,.52,.68,.67,.56,.63,.54,.79,.43,.72,.74,.94,.72,.64,.65
2003,.93,.57,.67,.61,.72,.55,.68,.87,.79,.99,.67,.99,.75,.71,.64,.67,.70,.81
2004,.67,.92,.87,.70,.52,.47,.50,.55,.60,.70,.99,.45,.66,.71,.86,.70,.51,.76
2005,.94,.73,.95,.93,.78,.79,.76,.70,.91,.95,1.06,.84,.86,.83,.71,.89,.75,.97
2006,.66,.96,.78,.60,.76,.82,.70,.69,.82,.96,.95,1.16,.82,.80,.82,.71,.74,.91
2007,1.46,.90,.96,1.07,.73,.66,.67,.73,.68,.84,.83,.77,.86,.89,1.17,.92,.69,.78
2008,.34,.59,1.14,.65,.60,.62,.61,.60,.58,.86,.97,.66,.69,.70,.57,.80,.61,.80
2009,.83,.71,.60,.71,.67,.69,.69,.73,.86,.80,.85,.67,.73,.73,.73,.66,.70,.83
2010,.81,.95,1.11,1.13,.94,.86,.89,.87,.71,.90,1.21,.51,.91,.92,.81,1.06,.87,.94
2011,.62,.57,.89,.85,.66,.77,.73,.71,.74,.91,.67,.89,.75,.72,.56,.80,.74,.77
2012,.69,.59,.72,1.07,.98,.95,.86,.76,.87,.92,.98,.46,.82,.86,.72,.92,.86,.92
2013,.85,.80,.82,.69,.79,.78,.71,.74,.71,.83,1.14,.84,.81,.78,.70,.77,.74,.89
2014,.98,.72,1.21,1.09,.91,.83,.78,.91,.84,.94,.82,1.11,.93,.91,.85,1.07,.84,.87
2015,1.19,1.20,1.33,1.03,1.05,1.06,.93,1.02,1.18,1.30,1.39,1.54,1.19,1.15,1.17,1.14,1.00,1.29
2016,1.55,1.95,1.91,1.49,1.12,1.13,1.05,1.13,1.23,1.04,1.13,1.05,1.31,1.36,1.68,1.51,1.10,1.13
2017,1.40,1.53,1.53,1.21,.93,.94,.98,1.02,1.01,1.06,1.23,1.41,1.19,1.16,1.33,1.22,.98,1.10
2018,1.14,1.25,1.18,.98,1.02,.87,.91,.87,.98,1.25,.98,1.11,1.05,1.07,1.27,1.06,.89,1.07
2019,1.21,1.14,1.55,1.26,1.00,1.21,1.04,1.09,1.22,1.32,1.21,1.40,1.22,1.20,1.15,1.27,1.11,1.25
2020,1.60,1.71,1.67,1.41,1.28,1.14,1.11,1.14,1.21,1.23,1.62,1.23,1.36,1.38,1.57,1.46,1.13,1.35
2021,1.31,.97,***,***,***,***,***,***,***,***,***,***,***,***,1.17,***,***,***
